,referencing,referenced,total_refs,direct_ref
121,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,a8921b3462a3575b0b5de602a975bd608f6f6652,1,False
122,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,db7ababa8a1564b0525b56d576b0fa5d3a5c82a0,3,False
123,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,8fcbc38e7196b0dc8748f04cd6101e71f92c158e,8,False
124,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,3785b6336735e01631031e49d8429a245f0f674d,1,False
125,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,d2cd42d3f91d67c6e7ae727719fdb07582067a73,1,False
126,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,5042cb5efad30f443adef472b8748e1b7bb0452f,8,False
127,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,62e031d8872c4c5c6c87fe79865e1b81887cbc58,1,False
128,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,393c5d7517fbcbdbcd1878d32af9f98c4414ac14,4,False
129,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,c2df8dc81166be56b6a1bc90c07cf7f91be4ecac,1,False
130,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,615b73057d8b0ac9fb251db70264ee0e9131086c,4,False
131,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,30d629032b81abee9620925b60099d9e858ce470,3,False
132,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,5c9529259e180dea589447d9b7414a998286e1c2,5,False
133,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,d964ce0a35dccb9d80b16cdd5f4925f42ebfc7c9,1,False
134,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,ee73f5f94b654d2da610e74e3ab0c6420826e8ea,6,False
135,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,71d51281ec16ac8feb5f22d04262858ba2cb9bc0,6,False
136,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,9f87a11a523e4680e61966e36ea2eac516096f23,6,False
137,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,d0a0aea845148384a4bdb46977b5c6864254a481,1,False
138,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,a1838b7d0fd673b129337a4fffb6a778803dc63b,2,False
139,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,20b844e395355b40fa5940c61362ec40e56027aa,2,False
140,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,605402e235bd62437baf3c9ebefe77fb4d92ee95,9,False
141,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,be01b49cec664c21e6789cc77d9c836e62cc3b99,6,False
142,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,4e4aec480edc918adc81a28f35fb3566690a3eca,1,False
143,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,c9debad837d410edc10679d09b6b130f110721eb,2,False
144,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,25c9f33aceac6dcff357727cbe2faf145b01d13c,2,False
145,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,1c8085e54a1ea1836f8986f25a7a5ddf69d8eeb8,1,False
146,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,974bf001626115b669aa92f6851d02accd8b9f00,6,False
147,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,a320b5e679ea0aacefcf847386dd8ee790ac073b,7,False
148,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,bd947b109a9803a390865ac8d1a7549504d452ca,4,False
149,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,c034f8ce0898388419ced7b701485eb46cd4717e,5,False
150,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,badb0516cf0ca095c4370a41795323e40e43372c,6,False
151,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,5d203021cf91e4ed5aeffe4e3a7704814cbe6d48,6,False
152,b9a9d50cd3a4bff4555f5b5cc1fa6d3dfd772946,5c96465c7c5a291b16d134db6bd1dbaa79ad8d1b,3,False
153,5e07da2914783a21980ecc1cea688d1333e6b6e4,8e63f4cae34085859a4e9b448b726cb1307fe53e,1,False
154,5e07da2914783a21980ecc1cea688d1333e6b6e4,1a014a076cac3c7f5d81a084e296c095f9230437,4,False
155,5e07da2914783a21980ecc1cea688d1333e6b6e4,87b6b6a94d1776d478730913ed803c4c111dc563,2,False
156,5e07da2914783a21980ecc1cea688d1333e6b6e4,c09fb7cfa28cde7ab254f878a5987758b8c5f4d0,3,False
157,5e07da2914783a21980ecc1cea688d1333e6b6e4,a979575111422386e9cab9f39ecebc288372e213,1,False
158,5e07da2914783a21980ecc1cea688d1333e6b6e4,89add45c9caad711b1972a5dab9d3f83a1c40ae4,2,False
159,5e07da2914783a21980ecc1cea688d1333e6b6e4,bf15128e48db7aaa9146328d965fc81dbdf4db3f,1,False
160,5e07da2914783a21980ecc1cea688d1333e6b6e4,0796153f095fa5a9cf42251ae59be37d4fea1206,1,False
161,5e07da2914783a21980ecc1cea688d1333e6b6e4,be49d8243954e0a2e25ffbb797be33aa22c6173b,1,False
162,5e07da2914783a21980ecc1cea688d1333e6b6e4,9fa2a4c7e51e53718131b6c74df2eaa5e1ffb890,1,False
163,5e07da2914783a21980ecc1cea688d1333e6b6e4,8fb70df00c8674ff7d5dd594c6908a609c9969d6,2,False
